"Country,Other",#,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population
USA,1,1484287,2.0,88507.0,,327751.0,1068029.0,16139.0,4488.0,268.0,11090900.0,33532.0,330758784.0
Spain,2,274367,,27459.0,,188967.0,57941.0,1320.0,5868.0,587.0,3037840.0,64977.0,46752556.0
Russia,3,272043,9200.0,2537.0,119.0,63166.0,206340.0,2300.0,1864.0,17.0,6656340.0,45614.0,145926781.0
UK,4,236711,,33998.0,,,,1559.0,3489.0,501.0,2353078.0,34685.0,67841324.0
Italy,5,223885,,31610.0,,120205.0,72070.0,808.0,3702.0,523.0,2875680.0,47553.0,60472650.0
Brazil,6,220291,2068.0,14962.0,145.0,84970.0,120359.0,8318.0,1037.0,70.0,735224.0,3462.0,212368566.0
France,7,179506,,27529.0,,60448.0,91529.0,2203.0,2751.0,422.0,1384633.0,21219.0,65255646.0
Germany,8,175699,,8001.0,,152600.0,15098.0,1294.0,2098.0,96.0,3147771.0,37585.0,83750665.0
Turkey,9,146457,,4055.0,,106133.0,36269.0,944.0,1739.0,48.0,1547389.0,18373.0,84222640.0
Iran,10,118392,1757.0,6937.0,35.0,93147.0,18308.0,2716.0,1412.0,83.0,672679.0,8022.0,83853830.0
India,11,86508,724.0,2760.0,7.0,30773.0,52975.0,,63.0,2.0,2134277.0,1549.0,1378270651.0
Peru,12,84495,,2392.0,,27147.0,54956.0,851.0,2567.0,73.0,605383.0,18394.0,32912133.0
Canada,13,74613,,5562.0,,36895.0,32156.0,502.0,1979.0,148.0,1225049.0,32495.0,37700059.0
Belgium,14,54989,345.0,9005.0,46.0,14460.0,31524.0,364.0,4747.0,777.0,663755.0,57303.0,11583327.0
Saudi Arabia,15,49176,,292.0,,21869.0,27015.0,167.0,1415.0,8.0,530265.0,15263.0,34742883.0
Mexico,16,45032,2437.0,4767.0,290.0,30451.0,9814.0,378.0,350.0,37.0,163691.0,1271.0,128759156.0
Netherlands,17,43681,,5643.0,,,,378.0,2550.0,329.0,287943.0,16809.0,17130183.0
Chile,18,39542,,394.0,,16614.0,22534.0,584.0,2071.0,21.0,341347.0,17876.0,19095344.0
Pakistan,19,38799,1581.0,834.0,31.0,10880.0,27085.0,111.0,176.0,4.0,359264.0,1631.0,220321573.0
Ecuador,20,31467,,2594.0,,3433.0,25440.0,197.0,1787.0,147.0,89817.0,5101.0,17608034.0
Switzerland,21,30514,,1878.0,,27100.0,1536.0,69.0,3529.0,217.0,334274.0,38659.0,8646621.0
Qatar,22,29425,,14.0,,3546.0,25865.0,72.0,10236.0,5.0,148173.0,51545.0,2874647.0
Sweden,23,29207,,3646.0,,4971.0,20590.0,351.0,2894.0,361.0,177500.0,17589.0,10091340.0
Portugal,24,28583,,1190.0,,3328.0,24065.0,112.0,2802.0,117.0,600061.0,58828.0,10200306.0
Belarus,25,27730,,156.0,,8807.0,18767.0,92.0,2934.0,17.0,321705.0,34044.0,9449703.0
Singapore,26,27356,465.0,21.0,,7248.0,20087.0,18.0,4681.0,4.0,224262.0,38371.0,5844512.0
Ireland,27,23956,,1518.0,,19470.0,2968.0,69.0,4859.0,308.0,258808.0,52489.0,4930698.0
UAE,28,21831,,210.0,,7328.0,14293.0,1.0,2211.0,21.0,1560923.0,158068.0,9874985.0
Bangladesh,29,20995,930.0,314.0,16.0,4117.0,16564.0,1.0,128.0,2.0,167114.0,1016.0,164479603.0
Poland,30,18184,168.0,912.0,5.0,7175.0,10097.0,160.0,480.0,24.0,576276.0,15225.0,37851666.0
Ukraine,31,17858,528.0,497.0,21.0,4906.0,12455.0,231.0,408.0,11.0,220638.0,5041.0,43765128.0
Indonesia,32,17025,529.0,1089.0,13.0,3911.0,12025.0,,62.0,4.0,182818.0,669.0,273152851.0
Romania,33,16704,267.0,1081.0,11.0,9574.0,6049.0,206.0,868.0,56.0,303734.0,15776.0,19252967.0
Israel,34,16606,17.0,267.0,1.0,12820.0,3519.0,59.0,1922.0,31.0,498711.0,57736.0,8637807.0
