"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
S. Korea,10780,6.0,250.0,2.0,9123.0,1407,55.0,210.0,5.0,623069.0,12153.0
Denmark,9311,,460.0,,6729.0,2122,61.0,1608.0,79.0,206576.0,35665.0
Serbia,9205,,185.0,,1379.0,7641,65.0,1054.0,21.0,91551.0,10478.0
Philippines,8928,156.0,603.0,24.0,1124.0,7201,31.0,81.0,6.0,115012.0,1050.0
Bangladesh,8790,552.0,175.0,5.0,177.0,8438,1.0,53.0,1.0,76066.0,462.0
Norway,7783,,210.0,,32.0,7541,37.0,1436.0,39.0,172586.0,31835.0
Czechia,7740,3.0,241.0,1.0,3378.0,4121,67.0,723.0,23.0,253826.0,23702.0
Dominican Republic,7288,,313.0,,1387.0,5588,144.0,672.0,29.0,25368.0,2339.0
Colombia,7006,,314.0,,1551.0,5141,118.0,138.0,6.0,108950.0,2141.0
Australia,6783,16.0,93.0,,5789.0,901,28.0,266.0,4.0,611583.0,23984.0
Panama,6720,188.0,192.0,4.0,622.0,5906,85.0,1557.0,44.0,31895.0,7392.0
Malaysia,6176,105.0,103.0,,4326.0,1747,31.0,191.0,3.0,184213.0,5692.0
South Africa,5951,,116.0,,2382.0,3453,36.0,100.0,2.0,217522.0,3668.0
Egypt,5895,,406.0,,1460.0,4029,,58.0,4.0,90000.0,879.0
Finland,5176,125.0,220.0,2.0,3000.0,1956,52.0,934.0,40.0,101800.0,18373.0
Morocco,4687,118.0,172.0,1.0,1235.0,3280,1.0,127.0,5.0,38102.0,1032.0
Argentina,4532,,225.0,,1292.0,3015,157.0,100.0,5.0,61530.0,1361.0
Kuwait,4377,,30.0,,1602.0,2745,70.0,1025.0,7.0,179000.0,41915.0
Algeria,4154,,453.0,,1821.0,1880,22.0,95.0,10.0,6500.0,148.0
Moldova,3980,,122.0,,1272.0,2586,237.0,987.0,30.0,11763.0,2916.0
Luxembourg,3802,,92.0,,3213.0,497,23.0,6074.0,147.0,44895.0,71720.0
Kazakhstan,3785,188.0,25.0,,940.0,2820,40.0,202.0,1.0,268534.0,14301.0
Bahrain,3170,,8.0,,1555.0,1607,1.0,1863.0,5.0,134082.0,78799.0
Thailand,2966,6.0,54.0,,2732.0,180,61.0,42.0,0.8,178083.0,2551.0
Hungary,2942,79.0,335.0,12.0,625.0,1982,52.0,305.0,35.0,79551.0,8235.0
Greece,2612,,140.0,,1374.0,1098,36.0,251.0,13.0,77251.0,7412.0
Oman,2483,36.0,11.0,,750.0,1722,17.0,486.0,2.0,40459.0,7923.0
Afghanistan,2469,134.0,72.0,4.0,331.0,2066,7.0,63.0,2.0,11068.0,284.0
Armenia,2273,125.0,33.0,,1010.0,1230,10.0,767.0,11.0,23142.0,7810.0
Nigeria,2170,,68.0,,351.0,1751,2.0,11.0,0.3,15759.0,76.0
Iraq,2153,,94.0,,1414.0,645,,54.0,2.0,95399.0,2372.0
Uzbekistan,2094,8.0,9.0,,1229.0,856,8.0,63.0,0.3,242536.0,7247.0
Croatia,2085,,75.0,,1421.0,589,17.0,508.0,18.0,36917.0,8993.0
Ghana,2074,,17.0,,212.0,1845,4.0,67.0,0.5,113497.0,3653.0
Azerbaijan,1854,,25.0,,1365.0,464,17.0,183.0,2.0,146630.0,14462.0
Cameroon,1832,,61.0,,934.0,837,12.0,69.0,2.0,,
Iceland,1798,,10.0,,1689.0,99,,5269.0,29.0,49135.0,143988.0
Bosnia and Herzegovina,1781,,70.0,,755.0,956,4.0,543.0,21.0,32178.0,9808.0
Estonia,1699,5.0,53.0,1.0,256.0,1390,7.0,1281.0,40.0,54464.0,41057.0
Bulgaria,1588,33.0,69.0,1.0,287.0,1232,43.0,229.0,10.0,47636.0,6856.0
Cuba,1537,,64.0,,714.0,759,10.0,136.0,6.0,49409.0,4362.0
Guinea,1537,,7.0,,342.0,1188,,117.0,0.5,,
North Macedonia,1494,,81.0,,807.0,606,13.0,717.0,39.0,16798.0,8063.0
New Zealand,1485,6.0,20.0,1.0,1263.0,202,,308.0,4.0,145589.0,30191.0
Slovenia,1434,,92.0,,233.0,1109,22.0,690.0,44.0,52948.0,25469.0
Slovakia,1407,4.0,24.0,1.0,608.0,775,5.0,258.0,4.0,94770.0,17358.0
Lithuania,1406,7.0,46.0,1.0,632.0,728,17.0,516.0,17.0,138270.0,50792.0
Ivory Coast,1333,,15.0,,597.0,721,,51.0,0.6,10073.0,382.0
Bolivia,1229,62.0,66.0,4.0,134.0,1029,3.0,105.0,6.0,5791.0,496.0
Djibouti,1097,,2.0,,672.0,423,,1110.0,2.0,13751.0,13918.0
Hong Kong,1040,,4.0,,864.0,172,4.0,139.0,0.5,154989.0,20674.0
Senegal,1024,,9.0,,356.0,659,1.0,61.0,0.5,466.0,28.0
Tunisia,998,,41.0,,316.0,641,24.0,84.0,3.0,23526.0,1991.0
Honduras,899,95.0,75.0,,112.0,712,10.0,91.0,8.0,3643.0,368.0
Latvia,871,1.0,16.0,,348.0,507,2.0,462.0,8.0,63102.0,33455.0
Cyprus,857,,15.0,,296.0,546,15.0,710.0,12.0,60536.0,50139.0
Albania,789,7.0,31.0,,519.0,239,4.0,274.0,11.0,8669.0,3012.0
Kyrgyzstan,769,13.0,8.0,,527.0,234,12.0,118.0,1.0,51472.0,7889.0
Andorra,745,,43.0,,468.0,234,17.0,9642.0,557.0,1673.0,21653.0
Lebanon,729,,24.0,,192.0,513,44.0,107.0,4.0,36420.0,5336.0
Niger,728,,33.0,,478.0,217,,30.0,1.0,5230.0,216.0
Costa Rica,725,,6.0,,355.0,364,7.0,142.0,1.0,13529.0,2656.0
Diamond Princess,712,,13.0,,645.0,54,4.0,,,,
Sri Lanka,690,,7.0,,172.0,511,1.0,32.0,0.3,22418.0,1047.0
Burkina Faso,649,,44.0,,517.0,88,,31.0,2.0,,
Uruguay,648,,17.0,,435.0,196,10.0,187.0,5.0,20554.0,5917.0
Guatemala,644,45.0,16.0,,72.0,556,5.0,36.0,0.9,7200.0,402.0
DRC,604,,32.0,,75.0,497,,7.0,0.4,,
Somalia,601,,28.0,,31.0,542,2.0,38.0,2.0,,
Georgia,582,16.0,8.0,1.0,207.0,367,6.0,146.0,2.0,15904.0,3987.0
San Marino,580,,41.0,,83.0,456,5.0,17094.0,1208.0,2397.0,70643.0
Mayotte,539,,4.0,,235.0,300,4.0,1976.0,15.0,3000.0,10996.0
Channel Islands,538,,41.0,,406.0,91,,3094.0,236.0,5342.0,30725.0
Sudan,533,91.0,36.0,5.0,46.0,451,,12.0,0.8,,
Mali,508,,26.0,,196.0,286,,25.0,1.0,2172.0,107.0
Maldives,491,,1.0,,17.0,473,2.0,908.0,2.0,8008.0,14815.0
Tanzania,480,,16.0,,167.0,297,7.0,8.0,0.3,,
Malta,467,,4.0,,383.0,80,1.0,1058.0,9.0,32989.0,74713.0
Jordan,459,,8.0,,364.0,87,5.0,45.0,0.8,78885.0,7731.0
El Salvador,446,22.0,10.0,,138.0,298,2.0,69.0,2.0,26961.0,4157.0
Jamaica,432,10.0,8.0,,31.0,393,1.0,146.0,3.0,4779.0,1614.0
Taiwan,432,3.0,6.0,,324.0,102,,18.0,0.3,63713.0,2675.0
Réunion,422,,,,300.0,122,2.0,471.0,,,
Kenya,411,,21.0,,150.0,240,2.0,8.0,0.4,21702.0,404.0
Palestine,353,,2.0,,76.0,275,,69.0,0.4,32200.0,6312.0
Venezuela,335,,10.0,,148.0,177,2.0,12.0,0.4,458737.0,16132.0
Paraguay,333,67.0,10.0,,115.0,208,5.0,47.0,1.0,10342.0,1450.0
Mauritius,332,,10.0,,312.0,10,3.0,261.0,8.0,16028.0,12603.0
Montenegro,322,,7.0,,240.0,75,2.0,513.0,11.0,6864.0,10929.0
Isle of Man,316,,22.0,,271.0,23,21.0,3716.0,259.0,3228.0,37962.0
Equatorial Guinea,315,,1.0,,9.0,305,,225.0,0.7,854.0,609.0
Gabon,276,,3.0,,67.0,206,1.0,124.0,1.0,724.0,325.0
Vietnam,270,,,,219.0,51,8.0,3.0,,261004.0,2681.0
Guinea-Bissau,257,,1.0,,19.0,237,,131.0,0.5,1500.0,762.0
Rwanda,249,,,,109.0,140,,19.0,,10969.0,847.0
Congo,229,,9.0,,25.0,195,,41.0,2.0,,
Faeroe Islands,187,,,,184.0,3,,3827.0,,8021.0,164153.0
Martinique,179,,14.0,,83.0,82,5.0,477.0,37.0,,
Liberia,152,,18.0,,45.0,89,,30.0,4.0,,
Guadeloupe,152,,12.0,,95.0,45,6.0,380.0,30.0,,
Myanmar,151,,6.0,,31.0,114,,3.0,0.1,8281.0,152.0
Gibraltar,144,,,,131.0,13,,4274.0,,2626.0,77944.0
Brunei ,138,,1.0,,126.0,11,2.0,315.0,2.0,13924.0,31828.0
Sierra Leone,136,,7.0,,21.0,108,,17.0,0.9,,
Ethiopia,133,,3.0,,69.0,61,,1.0,0.03,19857.0,173.0
Madagascar,132,,,,94.0,38,1.0,5.0,,3228.0,117.0
French Guiana,128,,1.0,,98.0,29,2.0,429.0,3.0,,
Togo,123,,9.0,,66.0,48,,15.0,1.0,7100.0,858.0
Cabo Verde,122,,1.0,,18.0,103,,219.0,2.0,791.0,1423.0
Cambodia,122,,,,120.0,2,1.0,7.0,,12222.0,731.0
Trinidad and Tobago,116,,8.0,,83.0,25,,83.0,6.0,1838.0,1313.0
Bermuda,114,,6.0,,48.0,60,4.0,1831.0,96.0,2791.0,44815.0
Zambia,109,,3.0,,74.0,32,1.0,6.0,0.2,5284.0,287.0
Eswatini,106,,1.0,,12.0,93,,91.0,0.9,714.0,615.0
Aruba,100,,2.0,,81.0,17,4.0,937.0,19.0,1721.0,16119.0
Monaco,95,,4.0,,73.0,18,1.0,2421.0,102.0,,
Benin,90,,2.0,,42.0,46,,7.0,0.2,,
Haiti,85,,8.0,,10.0,67,,7.0,0.7,848.0,74.0
Uganda,85,,,,52.0,33,,2.0,,33818.0,739.0
Bahamas,82,1.0,11.0,,24.0,47,1.0,209.0,28.0,1313.0,3339.0
Guyana,82,,9.0,,22.0,51,2.0,104.0,11.0,579.0,736.0
Liechtenstein,82,,1.0,,55.0,26,,2151.0,26.0,900.0,23605.0
Barbados,81,,7.0,,39.0,35,4.0,282.0,24.0,2317.0,8063.0
Mozambique,79,,,,12.0,67,,3.0,,2246.0,72.0
Sint Maarten,76,,13.0,,44.0,19,7.0,1773.0,303.0,329.0,7673.0
Cayman Islands,74,,1.0,,10.0,63,3.0,1126.0,15.0,1927.0,29320.0
Chad,73,,5.0,,33.0,35,,4.0,0.3,,
CAR,72,,,,10.0,62,,15.0,,,
Libya,63,,3.0,,18.0,42,,9.0,0.4,1949.0,284.0
Nepal,59,,,,16.0,43,,2.0,,60374.0,2072.0
French Polynesia,58,,,,51.0,7,1.0,206.0,,2599.0,9252.0
Macao,45,,,,37.0,8,1.0,69.0,,,
South Sudan,45,,,,,45,,4.0,,1247.0,111.0
Syria,44,,3.0,,27.0,14,,3.0,0.2,,
Zimbabwe,40,,4.0,,5.0,31,,3.0,0.3,7642.0,514.0
Eritrea,39,,,,26.0,13,,11.0,,,
Mongolia,39,1.0,,,10.0,29,,12.0,,8022.0,2447.0
Saint Martin,38,,3.0,,27.0,8,3.0,983.0,78.0,,
Malawi,37,,3.0,,9.0,25,1.0,2.0,0.2,831.0,43.0
Tajikistan,32,17.0,,,,32,,3.0,,,
Angola,30,,2.0,,11.0,17,,0.9,0.06,481.0,15.0
Antigua and Barbuda,25,,3.0,,15.0,7,1.0,255.0,31.0,151.0,1542.0
Timor-Leste,24,,,,16.0,8,,18.0,,322.0,244.0
Botswana,23,,1.0,,8.0,14,,10.0,0.4,7675.0,3264.0
Grenada,20,,,,13.0,7,4.0,178.0,,1406.0,12495.0
Laos,19,,,,8.0,11,,3.0,,2165.0,298.0
Belize,18,,2.0,,13.0,3,1.0,45.0,5.0,1043.0,2623.0
Fiji,18,,,,14.0,4,,20.0,,1007.0,1123.0
New Caledonia,18,,,,17.0,1,1.0,63.0,,4947.0,17328.0
Saint Lucia,17,,,,15.0,2,,93.0,,446.0,2429.0
Curaçao,16,,1.0,,13.0,2,,98.0,6.0,351.0,2139.0
Sao Tome and Principe,16,,1.0,,4.0,11,,73.0,5.0,19.0,87.0
Dominica,16,,,,13.0,3,,222.0,,383.0,5320.0
Namibia,16,,,,8.0,8,,6.0,,704.0,277.0
St. Vincent Grenadines,16,,,,8.0,8,,144.0,,108.0,973.0
Saint Kitts and Nevis,15,,,,8.0,7,,282.0,,294.0,5526.0
Nicaragua,14,,3.0,,7.0,4,,2.0,0.5,,
Falkland Islands,13,,,,13.0,0,,3736.0,,372.0,106897.0
Gambia,12,,1.0,,9.0,2,,5.0,0.4,401.0,166.0
Turks and Caicos,12,,1.0,,5.0,6,,310.0,26.0,83.0,2144.0
Burundi,11,,1.0,,4.0,6,,0.9,0.08,284.0,24.0
Montserrat,11,,1.0,,2.0,8,1.0,2204.0,200.0,36.0,7212.0
Greenland,11,,,,11.0,0,,194.0,,1271.0,22389.0
Vatican City,11,,,,2.0,9,,13733.0,,,
Seychelles,11,,,,6.0,5,,112.0,,,
Suriname,10,,1.0,,8.0,1,,17.0,2.0,404.0,689.0
MS Zaandam,9,,2.0,,,7,,,,,
Mauritania,8,,1.0,,6.0,1,,2.0,0.2,1032.0,222.0
Papua New Guinea,8,,,,,8,,0.9,,604.0,68.0
Yemen,7,,2.0,,1.0,4,,0.2,0.07,120.0,4.0
Bhutan,7,,,,5.0,2,,9.0,,10548.0,13670.0
British Virgin Islands,6,,1.0,,3.0,2,,198.0,33.0,,
Caribbean Netherlands,6,,,,,6,,229.0,,110.0,4195.0
St. Barth,6,,,,6.0,0,,607.0,,,
Western Sahara,6,,,,5.0,1,,10.0,,,
Anguilla,3,,,,3.0,0,,200.0,,,
Comoros,1,,,,,1,,1.0,,,
Saint Pierre Miquelon,1,,,,,1,,173.0,,,
China,82875,1.0,4633.0,,77685.0,557,37.0,58.0,3.0,,
