"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,1238040,407.0,72284.0,13.0,200669.0,965087,16179.0,3740.0,218.0,7727938.0,23347.0
Spain,250561,,25613.0,,154718.0,70230,2254.0,5359.0,548.0,1932455.0,41332.0
Italy,213013,,29315.0,,85231.0,98467,1427.0,3523.0,485.0,2246666.0,37158.0
UK,194990,,29427.0,,,165219,1559.0,2872.0,433.0,1383842.0,20385.0
France,170551,,25531.0,,52736.0,92284,3430.0,2613.0,391.0,1100228.0,16856.0
Germany,167007,,6993.0,,137400.0,22614,1937.0,1993.0,83.0,2547052.0,30400.0
Russia,165929,10559.0,1537.0,86.0,21327.0,143065,2300.0,1137.0,11.0,4633731.0,31752.0
Turkey,129491,,3520.0,,73285.0,52686,1338.0,1535.0,42.0,1204421.0,14281.0
Brazil,115953,1238.0,7958.0,37.0,48221.0,59774,8318.0,546.0,37.0,339552.0,1597.0
Iran,99970,,6340.0,,80475.0,13155,2685.0,1190.0,75.0,519543.0,6186.0
Canada,62046,,4043.0,,26993.0,31010,502.0,1644.0,107.0,940567.0,24921.0
Peru,51189,,1444.0,,15413.0,34332,709.0,1553.0,44.0,406579.0,12331.0
Belgium,50781,272.0,8339.0,323.0,12731.0,29711,646.0,4382.0,720.0,474176.0,40914.0
India,49436,36.0,1695.0,2.0,14183.0,33558,,36.0,1.0,1276781.0,925.0
Netherlands,41087,,5168.0,,,35669,644.0,2398.0,302.0,235909.0,13768.0
Ecuador,31881,,1569.0,,3433.0,26879,159.0,1807.0,89.0,80171.0,4544.0
Saudi Arabia,30251,,200.0,,5431.0,24620,143.0,869.0,6.0,376607.0,10818.0
Switzerland,30009,,1795.0,,25400.0,2814,121.0,3467.0,207.0,286403.0,33092.0
Mexico,26025,1120.0,2507.0,236.0,16810.0,6708,378.0,202.0,19.0,100041.0,776.0
Portugal,25702,,1074.0,,1743.0,22885,134.0,2521.0,105.0,469435.0,46038.0
Sweden,23216,,2854.0,,4074.0,16288,435.0,2299.0,283.0,148500.0,14704.0
Pakistan,22550,501.0,526.0,12.0,6217.0,15807,111.0,102.0,2.0,232582.0,1053.0
Chile,22016,,275.0,,10710.0,11031,470.0,1152.0,14.0,222095.0,11618.0
Ireland,21983,,1339.0,,13386.0,7258,93.0,4452.0,271.0,214761.0,43493.0
Singapore,20198,788.0,18.0,,1519.0,18661,24.0,3452.0,3.0,143919.0,24600.0
Belarus,19255,905.0,112.0,5.0,4388.0,14755,92.0,2038.0,12.0,220045.0,23287.0
Qatar,17142,,12.0,,1924.0,15206,72.0,5950.0,4.0,109762.0,38098.0
Israel,16314,25.0,238.0,,10527.0,5549,90.0,1885.0,27.0,417100.0,48189.0
Austria,15684,34.0,608.0,2.0,13639.0,1437,97.0,1741.0,68.0,292254.0,32450.0
Japan,15253,,556.0,,4496.0,10201,308.0,121.0,4.0,186343.0,1473.0
UAE,15192,,146.0,,3153.0,11893,1.0,1536.0,15.0,1200000.0,121330.0
Poland,14647,216.0,723.0,7.0,4655.0,9269,160.0,387.0,19.0,394270.0,10418.0
Romania,14107,270.0,858.0,17.0,5788.0,7461,244.0,733.0,45.0,217139.0,11287.0
Ukraine,13184,487.0,327.0,11.0,2097.0,10760,169.0,301.0,7.0,144283.0,3299.0
Indonesia,12438,367.0,895.0,23.0,2317.0,9226,,45.0,3.0,121547.0,444.0
Bangladesh,11719,790.0,186.0,3.0,1403.0,10130,1.0,71.0,1.0,99646.0,605.0
S. Korea,10806,2.0,255.0,1.0,9333.0,1218,55.0,211.0,5.0,643095.0,12543.0
Philippines,10004,320.0,658.0,21.0,1506.0,7840,31.0,91.0,6.0,140134.0,1279.0
Denmark,9938,117.0,503.0,,7296.0,2139,49.0,1716.0,87.0,270680.0,46732.0
Serbia,9677,,200.0,,1723.0,7754,51.0,1108.0,23.0,111278.0,12736.0
Colombia,8613,,378.0,,2013.0,6222,128.0,169.0,7.0,127105.0,2498.0
Dominican Republic,8480,,354.0,,1905.0,6221,144.0,782.0,33.0,33377.0,3077.0
Norway,7955,,215.0,,32.0,7708,27.0,1467.0,40.0,189657.0,34984.0
Czechia,7899,3.0,258.0,1.0,4017.0,3624,59.0,738.0,24.0,278519.0,26008.0
South Africa,7572,,148.0,,2746.0,4678,36.0,128.0,2.0,268064.0,4520.0
Panama,7523,136.0,210.0,7.0,823.0,6490,88.0,1744.0,49.0,36483.0,8455.0
Egypt,7201,,452.0,,1730.0,5019,,70.0,4.0,90000.0,879.0
Australia,6875,26.0,97.0,1.0,5975.0,803,27.0,270.0,4.0,684615.0,26848.0
Malaysia,6428,45.0,107.0,1.0,4702.0,1619,22.0,199.0,3.0,213220.0,6588.0
Kuwait,5804,,40.0,,2032.0,3732,90.0,1359.0,9.0,196397.0,45988.0
Finland,5573,161.0,246.0,,3500.0,1827,48.0,1006.0,44.0,108112.0,19512.0
Morocco,5382,163.0,182.0,1.0,1969.0,3231,1.0,146.0,5.0,52100.0,1412.0
Argentina,5020,,264.0,,1472.0,3284,148.0,111.0,6.0,69718.0,1543.0
Algeria,4838,,470.0,,2067.0,2301,22.0,110.0,11.0,6500.0,148.0
Moldova,4363,,136.0,,1544.0,2683,237.0,1082.0,34.0,20447.0,5069.0
Kazakhstan,4298,93.0,29.0,,1299.0,2970,40.0,229.0,2.0,320411.0,17064.0
Luxembourg,3840,,96.0,,3412.0,332,22.0,6134.0,153.0,49299.0,78755.0
Bahrain,3720,,8.0,,1762.0,1950,1.0,2186.0,5.0,155501.0,91387.0
Afghanistan,3392,168.0,104.0,9.0,458.0,2830,7.0,87.0,3.0,13777.0,354.0
Hungary,3111,46.0,373.0,10.0,759.0,1979,50.0,322.0,39.0,86743.0,8979.0
Thailand,2989,1.0,55.0,1.0,2761.0,173,61.0,43.0,0.8,227860.0,3264.0
Nigeria,2950,,98.0,,481.0,2371,4.0,14.0,0.5,19512.0,95.0
Oman,2903,168.0,13.0,,888.0,2002,17.0,568.0,3.0,40459.0,7923.0
Armenia,2782,163.0,40.0,,1135.0,1607,10.0,939.0,13.0,26929.0,9088.0
Ghana,2719,,18.0,,294.0,2407,4.0,88.0,0.6,129461.0,4166.0
Greece,2642,,146.0,,1374.0,1122,35.0,253.0,14.0,83750.0,8035.0
Iraq,2431,,102.0,,1571.0,758,,60.0,3.0,113484.0,2821.0
Uzbekistan,2217,10.0,10.0,,1556.0,651,8.0,66.0,0.3,325000.0,9710.0
Croatia,2112,,83.0,,1560.0,469,14.0,514.0,20.0,39973.0,9737.0
Cameroon,2104,,64.0,,953.0,1087,12.0,79.0,2.0,,
Azerbaijan,2060,,26.0,,1508.0,526,18.0,203.0,3.0,164481.0,16222.0
Bosnia and Herzegovina,1946,,79.0,,911.0,956,4.0,593.0,24.0,35296.0,10758.0
Guinea,1811,,10.0,,498.0,1303,,138.0,0.8,,
Bolivia,1802,121.0,86.0,4.0,187.0,1529,3.0,154.0,7.0,7651.0,655.0
Iceland,1799,,10.0,,1733.0,56,,5272.0,29.0,51345.0,150465.0
Bulgaria,1758,54.0,82.0,2.0,360.0,1316,39.0,253.0,12.0,51768.0,7450.0
Estonia,1713,2.0,55.0,,264.0,1394,4.0,1291.0,41.0,58955.0,44443.0
Cuba,1685,,69.0,,954.0,662,8.0,149.0,6.0,57711.0,5095.0
North Macedonia,1526,,86.0,,1013.0,427,21.0,732.0,41.0,17359.0,8332.0
New Zealand,1488,2.0,21.0,1.0,1316.0,151,2.0,309.0,4.0,160700.0,33325.0
Ivory Coast,1464,,18.0,,701.0,745,,56.0,0.7,11448.0,434.0
Slovenia,1448,3.0,99.0,1.0,246.0,1103,14.0,697.0,48.0,58923.0,28343.0
Slovakia,1429,8.0,25.0,,762.0,642,4.0,262.0,5.0,104606.0,19160.0
Lithuania,1428,5.0,48.0,2.0,718.0,662,17.0,525.0,18.0,156493.0,57486.0
Senegal,1329,,11.0,,470.0,848,6.0,79.0,0.7,17787.0,1062.0
Honduras,1270,92.0,93.0,10.0,122.0,1055,10.0,128.0,9.0,5653.0,571.0
Djibouti,1120,,2.0,,745.0,373,,1134.0,2.0,14378.0,14553.0
Hong Kong,1041,,4.0,,932.0,105,2.0,139.0,0.5,154989.0,20674.0
Tunisia,1022,,43.0,,482.0,497,17.0,86.0,4.0,25165.0,2129.0
Latvia,900,4.0,17.0,,464.0,419,3.0,477.0,9.0,68627.0,36384.0
Cyprus,878,,15.0,,296.0,567,15.0,727.0,12.0,66975.0,55472.0
Kyrgyzstan,871,28.0,12.0,1.0,614.0,245,13.0,134.0,2.0,59490.0,9118.0
Somalia,835,,38.0,,75.0,722,2.0,53.0,2.0,,
Albania,832,12.0,31.0,,595.0,206,7.0,289.0,11.0,9531.0,3312.0
DRC,797,92.0,35.0,1.0,92.0,670,,9.0,0.4,,
Sudan,778,,45.0,,70.0,663,,18.0,1.0,,
Sri Lanka,771,,9.0,,215.0,547,1.0,36.0,0.4,29378.0,1372.0
Niger,763,,38.0,,543.0,182,,32.0,2.0,5375.0,222.0
Guatemala,763,33.0,19.0,,79.0,665,5.0,43.0,1.0,7200.0,402.0
Costa Rica,755,,6.0,,413.0,336,5.0,148.0,1.0,14121.0,2772.0
Andorra,751,,46.0,,514.0,191,16.0,9720.0,595.0,1673.0,21653.0
Lebanon,741,,25.0,,206.0,510,43.0,109.0,4.0,42488.0,6225.0
Mayotte,739,,9.0,,352.0,378,6.0,2709.0,33.0,3400.0,12463.0
Diamond Princess,712,,13.0,,645.0,54,4.0,,,,
Burkina Faso,688,,48.0,,548.0,92,,33.0,2.0,,
Uruguay,670,,17.0,,468.0,185,10.0,193.0,5.0,23811.0,6855.0
El Salvador,633,46.0,14.0,1.0,219.0,400,4.0,98.0,2.0,33628.0,5185.0
Mali,612,,32.0,,228.0,352,,30.0,2.0,2172.0,107.0
Georgia,610,6.0,9.0,,269.0,332,6.0,153.0,2.0,20579.0,5159.0
San Marino,589,,41.0,,92.0,456,5.0,17359.0,1208.0,2538.0,74799.0
Maldives,573,,2.0,,20.0,551,2.0,1060.0,4.0,9863.0,18246.0
Channel Islands,545,,40.0,,406.0,99,,3135.0,230.0,5342.0,30725.0
Kenya,535,,24.0,,182.0,329,2.0,10.0,0.4,25861.0,481.0
Malta,482,,5.0,,403.0,74,1.0,1092.0,11.0,36945.0,83672.0
Tanzania,480,,16.0,,167.0,297,7.0,8.0,0.3,,
Guinea-Bissau,475,62.0,2.0,1.0,24.0,449,,241.0,1.0,1500.0,762.0
Jamaica,473,2.0,9.0,,56.0,408,,160.0,3.0,5993.0,2024.0
Jordan,471,,9.0,,375.0,87,5.0,46.0,0.9,91666.0,8984.0
Taiwan,439,1.0,6.0,,339.0,94,,18.0,0.3,65589.0,2754.0
Paraguay,431,,10.0,,135.0,286,7.0,60.0,1.0,11913.0,1670.0
Réunion,425,1.0,,,300.0,125,2.0,475.0,,17200.0,19211.0
Gabon,397,,6.0,,93.0,298,1.0,178.0,3.0,724.0,325.0
Palestine,371,,2.0,,127.0,242,,73.0,0.4,32200.0,6312.0
Venezuela,367,6.0,10.0,,164.0,193,1.0,13.0,0.4,490851.0,17262.0
Mauritius,332,,10.0,,319.0,3,3.0,261.0,8.0,18959.0,14908.0
Isle of Man,326,,23.0,,271.0,32,19.0,3834.0,270.0,3459.0,40678.0
Montenegro,324,,8.0,,261.0,55,2.0,516.0,13.0,7816.0,12445.0
Equatorial Guinea,315,,3.0,,13.0,299,,225.0,2.0,854.0,609.0
Tajikistan,293,,5.0,,,288,,31.0,0.5,,
Vietnam,271,,,,232.0,39,8.0,3.0,,261004.0,2681.0
Rwanda,261,,,,129.0,132,,20.0,,35992.0,2779.0
Congo,236,,10.0,,26.0,200,,43.0,2.0,,
Sierra Leone,199,,11.0,,43.0,145,,25.0,1.0,,
Faeroe Islands,187,,,,185.0,2,,3827.0,,8241.0,168655.0
Cabo Verde,186,,2.0,,37.0,147,,335.0,4.0,791.0,1423.0
Martinique,182,1.0,14.0,,83.0,85,5.0,485.0,37.0,,
Sao Tome and Principe,174,,3.0,,4.0,167,,794.0,14.0,175.0,799.0
Liberia,170,,20.0,,58.0,92,,34.0,4.0,,
Chad,170,,17.0,,43.0,110,,10.0,1.0,,
Ethiopia,162,17.0,4.0,,93.0,65,,1.0,0.03,26517.0,231.0
Myanmar,161,,6.0,,49.0,106,,3.0,0.1,9037.0,166.0
Guadeloupe,152,,13.0,1.0,104.0,35,4.0,380.0,32.0,,
Madagascar,151,,,,101.0,50,1.0,5.0,,3861.0,139.0
Gibraltar,144,,,,133.0,11,,4274.0,,2931.0,86997.0
Zambia,139,1.0,4.0,1.0,92.0,43,1.0,8.0,0.2,7277.0,396.0
Brunei ,139,1.0,1.0,,131.0,7,2.0,318.0,2.0,14754.0,33725.0
French Guiana,138,5.0,1.0,,111.0,26,2.0,462.0,3.0,,
Togo,128,,9.0,,74.0,45,,15.0,1.0,7896.0,954.0
Cambodia,122,,,,120.0,2,1.0,7.0,,12611.0,754.0
Eswatini,119,,1.0,,12.0,106,,103.0,0.9,714.0,615.0
Trinidad and Tobago,116,,8.0,,103.0,5,,83.0,6.0,2080.0,1486.0
Bermuda,115,,7.0,,54.0,54,4.0,1847.0,112.0,3374.0,54176.0
Haiti,101,,12.0,,10.0,79,,9.0,1.0,1037.0,91.0
Aruba,101,,2.0,,82.0,17,4.0,946.0,19.0,1780.0,16672.0
Uganda,98,,,,55.0,43,,2.0,,44110.0,964.0
Benin,96,,2.0,,50.0,44,,8.0,0.2,,
Monaco,95,,4.0,,81.0,10,1.0,2421.0,102.0,,
Guyana,93,1.0,10.0,1.0,27.0,56,3.0,118.0,13.0,680.0,865.0
Bahamas,89,,11.0,,26.0,52,1.0,226.0,28.0,1485.0,3776.0
CAR,85,,,,10.0,75,,18.0,,3498.0,724.0
Barbados,82,,7.0,,47.0,28,4.0,285.0,24.0,2549.0,8870.0
Liechtenstein,82,,1.0,,55.0,26,,2151.0,26.0,900.0,23605.0
Nepal,82,,,,16.0,66,,3.0,,64492.0,2213.0
Mozambique,81,,,,19.0,62,,3.0,,2867.0,92.0
Cayman Islands,78,3.0,1.0,,30.0,47,3.0,1187.0,15.0,2752.0,41873.0
Sint Maarten,76,,14.0,,44.0,18,7.0,1773.0,327.0,329.0,7673.0
Libya,63,,3.0,,23.0,37,,9.0,0.4,2338.0,340.0
French Polynesia,60,,,,54.0,6,1.0,214.0,,2697.0,9601.0
South Sudan,52,,,,,52,,5.0,,1247.0,111.0
Macao,45,,,,39.0,6,1.0,69.0,,,
Syria,44,,3.0,,27.0,14,,3.0,0.2,,
Malawi,41,,3.0,,9.0,29,1.0,2.0,0.2,907.0,47.0
Mongolia,41,,,,13.0,28,,13.0,,8946.0,2729.0
Eritrea,39,,,,30.0,9,,11.0,,,
Saint Martin,38,,3.0,,29.0,6,1.0,983.0,78.0,,
Angola,36,,2.0,,11.0,23,,1.0,0.06,3000.0,91.0
Zimbabwe,34,,4.0,,5.0,25,,2.0,0.3,7642.0,514.0
Antigua and Barbuda,25,,3.0,,16.0,6,1.0,255.0,31.0,153.0,1562.0
Timor-Leste,24,,,,20.0,4,,18.0,,664.0,504.0
Botswana,23,,1.0,,8.0,14,,10.0,0.4,8636.0,3672.0
Yemen,22,,4.0,,1.0,17,,0.7,0.1,120.0,4.0
Grenada,21,,,,13.0,8,4.0,187.0,,1406.0,12495.0
Laos,19,,,,9.0,10,,3.0,,2505.0,344.0
Belize,18,,2.0,,16.0,0,,45.0,5.0,1043.0,2623.0
Fiji,18,,,,14.0,4,,20.0,,1300.0,1450.0
New Caledonia,18,,,,17.0,1,1.0,63.0,,5052.0,17695.0
Saint Lucia,18,,,,15.0,3,,98.0,,446.0,2429.0
Gambia,17,,1.0,,9.0,7,,7.0,0.4,562.0,233.0
St. Vincent Grenadines,17,,,,9.0,8,,153.0,,137.0,1235.0
Nicaragua,16,,5.0,,7.0,4,,2.0,0.8,,
Curaçao,16,,1.0,,13.0,2,,98.0,6.0,374.0,2279.0
Dominica,16,,,,14.0,2,,222.0,,416.0,5779.0
Namibia,16,,,,8.0,8,,6.0,,1122.0,442.0
Burundi,15,,1.0,,7.0,7,,1.0,0.08,284.0,24.0
Saint Kitts and Nevis,15,,,,12.0,3,,282.0,,318.0,5978.0
Falkland Islands,13,,,,13.0,0,,3736.0,,388.0,111494.0
Turks and Caicos,12,,1.0,,6.0,5,,310.0,26.0,107.0,2764.0
Montserrat,11,,1.0,,7.0,3,1.0,2204.0,200.0,36.0,7212.0
Greenland,11,,,,11.0,0,,194.0,,1332.0,23463.0
Vatican City,11,,,,2.0,9,,13733.0,,,
Seychelles,11,,,,8.0,3,,112.0,,,
Suriname,10,,1.0,,9.0,0,,17.0,2.0,404.0,689.0
MS Zaandam,9,,2.0,,,7,,,,,
Mauritania,8,,1.0,,6.0,1,,2.0,0.2,1032.0,222.0
Papua New Guinea,8,,,,8.0,0,,0.9,,2402.0,268.0
Bhutan,7,,,,5.0,2,,9.0,,11373.0,14739.0
British Virgin Islands,6,,1.0,,3.0,2,,198.0,33.0,,
Caribbean Netherlands,6,,,,,6,,229.0,,110.0,4195.0
St. Barth,6,,,,6.0,0,,607.0,,,
Western Sahara,6,,,,5.0,1,,10.0,,,
Anguilla,3,,,,3.0,0,,200.0,,,
Comoros,3,,,,,3,,3.0,,,
Saint Pierre Miquelon,1,,,,,1,,173.0,,,
China,82883,2.0,4633.0,,77911.0,339,26.0,58.0,3.0,,
