"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
USA,678210,640.0,34641.0,24.0,57844.0,585725,13369.0,2049.0,105.0,3411394.0,10306.0
Spain,184948,,19315.0,,74797.0,90836,7371.0,3956.0,413.0,930230.0,19896.0
Italy,168941,,22170.0,,40164.0,106607,2936.0,2794.0,367.0,1178403.0,19490.0
France,165027,,17920.0,,32812.0,114295,6248.0,2528.0,275.0,333807.0,5114.0
Germany,138135,437.0,4093.0,41.0,81800.0,52242,4288.0,1649.0,49.0,1728357.0,20629.0
UK,103093,,13729.0,,,89020,1559.0,1519.0,202.0,417649.0,6152.0
Iran,77995,,4869.0,,52229.0,20897,3594.0,929.0,58.0,310340.0,3695.0
Turkey,74193,,1643.0,,7089.0,65461,1854.0,880.0,19.0,518143.0,6144.0
Belgium,36138,1329.0,5163.0,306.0,7961.0,23014,1140.0,3118.0,445.0,134303.0,11588.0
Russia,32008,4070.0,273.0,41.0,2590.0,29145,8.0,219.0,2.0,1718019.0,11773.0
Brazil,30891,208.0,1952.0,5.0,14026.0,14913,6634.0,145.0,9.0,62985.0,296.0
Canada,30106,,1195.0,,9729.0,19182,557.0,798.0,32.0,487625.0,12920.0
Netherlands,29214,,3315.0,,250.0,25649,1279.0,1705.0,193.0,147948.0,8634.0
Switzerland,26732,,1288.0,7.0,15900.0,9544,386.0,3089.0,149.0,206400.0,23849.0
Portugal,18841,,629.0,,493.0,17719,229.0,1848.0,62.0,221049.0,21678.0
Austria,14527,51.0,410.0,,8986.0,5131,238.0,1613.0,46.0,162816.0,18078.0
India,13495,65.0,448.0,,1777.0,11270,,10.0,0.3,302956.0,220.0
Ireland,13271,,486.0,,77.0,12708,156.0,2688.0,98.0,90646.0,18358.0
Israel,12855,97.0,148.0,6.0,2967.0,9740,182.0,1485.0,17.0,187250.0,21634.0
Sweden,12540,,1333.0,,550.0,10657,522.0,1242.0,132.0,74600.0,7387.0
Peru,12491,,274.0,,6120.0,6097,169.0,379.0,8.0,121468.0,3684.0
S. Korea,10635,22.0,230.0,1.0,7829.0,2576,55.0,207.0,4.0,546463.0,10659.0
Japan,9231,,190.0,,935.0,8106,193.0,73.0,2.0,100703.0,796.0
Chile,8807,,105.0,,3299.0,5403,384.0,461.0,5.0,98424.0,5149.0
Ecuador,8225,,403.0,,838.0,6984,168.0,466.0,23.0,27868.0,1580.0
Poland,8214,296.0,318.0,4.0,866.0,7030,160.0,217.0,8.0,169071.0,4467.0
Romania,8067,360.0,400.0,8.0,1508.0,6159,258.0,419.0,21.0,85805.0,4460.0
Denmark,7073,194.0,321.0,,3023.0,3729,92.0,1221.0,55.0,87024.0,15024.0
Pakistan,7025,106.0,135.0,7.0,1765.0,5125,46.0,32.0,0.6,84704.0,383.0
Norway,6905,,157.0,5.0,32.0,6716,63.0,1274.0,29.0,133707.0,24664.0
Australia,6523,55.0,65.0,2.0,3819.0,2639,60.0,256.0,3.0,391530.0,15354.0
Czechia,6437,4.0,170.0,1.0,979.0,5288,82.0,601.0,16.0,154307.0,14409.0
Saudi Arabia,6380,,83.0,,990.0,5307,71.0,183.0,2.0,150000.0,4309.0
Mexico,6297,450.0,486.0,37.0,2125.0,3686,207.0,49.0,4.0,40091.0,311.0
Indonesia,5923,407.0,520.0,24.0,607.0,4796,,22.0,2.0,36000.0,132.0
Philippines,5878,218.0,387.0,25.0,487.0,5004,1.0,54.0,4.0,48171.0,440.0
UAE,5825,,35.0,,1095.0,4695,1.0,589.0,4.0,767000.0,77550.0
Serbia,5318,,103.0,,443.0,4772,120.0,609.0,12.0,29472.0,3373.0
Malaysia,5251,69.0,86.0,2.0,2967.0,2198,51.0,162.0,3.0,90562.0,2798.0
Belarus,4779,575.0,42.0,2.0,342.0,4395,65.0,506.0,4.0,86813.0,9187.0
Ukraine,4662,501.0,125.0,9.0,246.0,4291,45.0,107.0,3.0,47096.0,1077.0
Singapore,4427,,10.0,,683.0,3734,29.0,757.0,2.0,94796.0,16203.0
Qatar,4103,,7.0,,415.0,3681,37.0,1424.0,2.0,56381.0,19570.0
Panama,4016,265.0,109.0,6.0,98.0,3809,99.0,931.0,25.0,17850.0,4137.0
Dominican Republic,3755,,196.0,,215.0,3344,121.0,346.0,18.0,12229.0,1127.0
Finland,3489,120.0,75.0,,1700.0,1714,76.0,630.0,14.0,49700.0,8970.0
Luxembourg,3444,,69.0,,552.0,2823,35.0,5502.0,110.0,31660.0,50577.0
Colombia,3233,,144.0,,550.0,2539,98.0,64.0,3.0,52085.0,1024.0
Thailand,2700,28.0,47.0,1.0,1689.0,964,61.0,39.0,0.7,100498.0,1440.0
Egypt,2673,,196.0,,596.0,1881,,26.0,2.0,25000.0,244.0
Argentina,2669,,122.0,,631.0,1916,121.0,59.0,3.0,26457.0,585.0
South Africa,2605,,48.0,,903.0,1654,7.0,44.0,0.8,95060.0,1603.0
Morocco,2528,245.0,133.0,3.0,273.0,2122,1.0,68.0,4.0,12523.0,339.0
Algeria,2268,,348.0,,783.0,1137,60.0,52.0,8.0,3359.0,77.0
Greece,2207,,105.0,,269.0,1833,69.0,212.0,10.0,50771.0,4871.0
Moldova,2154,,54.0,,276.0,1824,80.0,534.0,13.0,9848.0,2441.0
Bangladesh,1838,266.0,75.0,15.0,58.0,1705,1.0,11.0,0.5,19193.0,117.0
Croatia,1791,,35.0,,529.0,1227,31.0,436.0,9.0,20158.0,4910.0
Hungary,1763,111.0,156.0,14.0,207.0,1400,63.0,182.0,16.0,41590.0,4305.0
Iceland,1739,,8.0,,1144.0,587,6.0,5096.0,23.0,38204.0,111955.0
Bahrain,1700,,7.0,,703.0,990,3.0,999.0,4.0,76630.0,45035.0
Kuwait,1524,,3.0,,225.0,1296,32.0,357.0,0.7,,
Kazakhstan,1480,78.0,17.0,,285.0,1178,22.0,79.0,0.9,85735.0,4566.0
Estonia,1459,25.0,38.0,2.0,145.0,1276,11.0,1100.0,29.0,37594.0,28340.0
Iraq,1434,,80.0,,856.0,498,,36.0,2.0,49260.0,1225.0
New Zealand,1409,8.0,11.0,2.0,816.0,582,2.0,292.0,2.0,74401.0,15429.0
Uzbekistan,1380,31.0,4.0,,140.0,1236,8.0,41.0,0.1,100000.0,2988.0
Azerbaijan,1283,,15.0,,460.0,808,28.0,127.0,1.0,75397.0,7436.0
Slovenia,1268,,61.0,,174.0,1033,31.0,610.0,29.0,38137.0,18344.0
Armenia,1201,42.0,19.0,1.0,402.0,780,30.0,405.0,6.0,10793.0,3642.0
Bosnia and Herzegovina,1167,,43.0,,277.0,847,4.0,356.0,13.0,14743.0,4494.0
Lithuania,1149,21.0,32.0,,210.0,907,14.0,422.0,12.0,53101.0,19506.0
North Macedonia,1081,,46.0,,121.0,914,15.0,519.0,22.0,10422.0,5002.0
Oman,1069,50.0,5.0,1.0,176.0,888,3.0,209.0,1.0,,
Hong Kong,1022,4.0,4.0,,533.0,485,9.0,136.0,0.5,131786.0,17579.0
Cameroon,996,,22.0,,164.0,810,,38.0,0.8,,
Slovakia,977,,8.0,,167.0,802,5.0,179.0,1.0,34458.0,6311.0
Afghanistan,906,66.0,30.0,,99.0,777,,23.0,0.8,,
Cuba,862,,27.0,,171.0,664,16.0,76.0,2.0,21837.0,1928.0
