"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
World,1363123,17119.0,76383.0,1729.0,293839.0,992901,47702.0,175.0,9.8,,
USA,368174,1170.0,10966.0,95.0,19814.0,337394,8983.0,1112.0,33.0,1938109.0,5855.0
Spain,140510,3835.0,13798.0,457.0,43208.0,83504,7069.0,3005.0,295.0,355000.0,7593.0
Italy,132547,,16523.0,,22837.0,93187,3898.0,2192.0,273.0,721732.0,11937.0
Germany,103717,342.0,1822.0,12.0,36081.0,65814,4895.0,1238.0,22.0,918460.0,10962.0
France,98010,,8911.0,,17250.0,71849,7072.0,1502.0,137.0,224254.0,3436.0
Iran,62589,2089.0,3872.0,133.0,27039.0,31678,3987.0,745.0,46.0,211136.0,2514.0
UK,51608,,5373.0,,135.0,46100,1559.0,760.0,79.0,252958.0,3726.0
Turkey,30217,,649.0,,1326.0,28242,1415.0,358.0,8.0,202845.0,2405.0
Switzerland,22242,585.0,787.0,22.0,8056.0,13399,391.0,2570.0,91.0,167429.0,19346.0
Belgium,22194,1380.0,2035.0,403.0,4157.0,16002,1260.0,1915.0,176.0,80512.0,6947.0
Netherlands,19580,777.0,2101.0,234.0,250.0,17229,1409.0,1143.0,123.0,86589.0,5053.0
Canada,16667,,323.0,,3616.0,12728,426.0,442.0,9.0,330901.0,8767.0
Austria,12519,222.0,243.0,23.0,4046.0,8230,243.0,1390.0,27.0,115235.0,12795.0
Portugal,12442,712.0,345.0,34.0,184.0,11913,271.0,1220.0,34.0,121256.0,11892.0
Brazil,12240,57.0,566.0,2.0,127.0,11547,296.0,58.0,3.0,54824.0,258.0
S. Korea,10331,47.0,192.0,6.0,6694.0,3445,55.0,202.0,4.0,461233.0,8996.0
Israel,9006,102.0,60.0,3.0,683.0,8263,153.0,1040.0,7.0,109724.0,12677.0
Sweden,7693,487.0,591.0,114.0,205.0,6897,640.0,762.0,59.0,54700.0,5416.0
Russia,7497,1154.0,58.0,11.0,494.0,6945,8.0,51.0,0.4,795000.0,5448.0
Australia,5908,13.0,48.0,3.0,2547.0,3313,93.0,232.0,2.0,310700.0,12184.0
Norway,5866,1.0,83.0,7.0,32.0,5751,83.0,1082.0,15.0,111299.0,20530.0
Ireland,5364,,174.0,,25.0,5165,165.0,1086.0,35.0,30213.0,6119.0
Denmark,4978,297.0,203.0,16.0,1491.0,3284,127.0,859.0,35.0,52936.0,9139.0
India,4911,133.0,137.0,1.0,382.0,4392,,4.0,0.1,140293.0,102.0
Czechia,4828,6.0,80.0,2.0,127.0,4621,86.0,451.0,7.0,91247.0,8521.0
Chile,4815,,37.0,,728.0,4050,327.0,252.0,2.0,54864.0,2870.0
Poland,4532,119.0,111.0,4.0,191.0,4230,50.0,120.0,3.0,92215.0,2437.0
Romania,4417,360.0,197.0,21.0,460.0,3760,274.0,230.0,10.0,43578.0,2265.0
Pakistan,4004,238.0,55.0,2.0,429.0,3520,28.0,18.0,0.2,39183.0,177.0
Malaysia,3963,170.0,63.0,1.0,1321.0,2579,92.0,122.0,2.0,55566.0,1717.0
Japan,3906,,92.0,,592.0,3222,79.0,31.0,0.7,46172.0,365.0
Philippines,3764,104.0,177.0,14.0,84.0,3503,1.0,34.0,2.0,22958.0,210.0
Ecuador,3747,,191.0,,100.0,3456,156.0,212.0,11.0,13039.0,739.0
Luxembourg,2843,,41.0,,500.0,2302,33.0,4542.0,65.0,24291.0,38805.0
Saudi Arabia,2795,190.0,41.0,3.0,615.0,2139,41.0,80.0,1.0,,
Indonesia,2738,247.0,221.0,12.0,204.0,2313,,10.0,0.8,13186.0,48.0
Peru,2561,,92.0,,997.0,1472,89.0,78.0,3.0,20414.0,619.0
Serbia,2447,247.0,61.0,3.0,118.0,2268,109.0,280.0,7.0,9626.0,1102.0
Mexico,2439,296.0,125.0,31.0,633.0,1681,89.0,19.0,1.0,20475.0,159.0
Finland,2308,132.0,34.0,7.0,300.0,1974,81.0,417.0,6.0,34900.0,6299.0
Thailand,2258,38.0,27.0,1.0,824.0,1407,30.0,32.0,0.4,25071.0,359.0
Panama,2100,,55.0,,14.0,2031,88.0,487.0,13.0,10297.0,2386.0
UAE,2076,,11.0,,167.0,1898,1.0,210.0,1.0,220000.0,22244.0
Qatar,1832,,4.0,,131.0,1697,37.0,636.0,1.0,38108.0,13227.0
Dominican Republic,1828,,86.0,,33.0,1709,147.0,169.0,8.0,4542.0,419.0
Greece,1755,,81.0,2.0,269.0,1405,90.0,168.0,8.0,26193.0,2513.0
South Africa,1686,,12.0,,95.0,1579,7.0,28.0,0.2,58098.0,980.0
Argentina,1628,,54.0,1.0,338.0,1236,96.0,36.0,1.0,11778.0,261.0
Iceland,1586,24.0,6.0,,559.0,1021,11.0,4648.0,18.0,28991.0,84957.0
Colombia,1579,,46.0,,88.0,1445,50.0,31.0,0.9,27685.0,544.0
Ukraine,1462,143.0,45.0,7.0,28.0,1389,16.0,33.0,1.0,6385.0,146.0
Algeria,1423,,173.0,,90.0,1160,46.0,32.0,4.0,3359.0,77.0
Singapore,1375,,6.0,,344.0,1025,25.0,235.0,1.0,65000.0,11110.0
Egypt,1322,,85.0,,259.0,978,,13.0,0.8,25000.0,244.0
Croatia,1282,60.0,18.0,2.0,167.0,1097,35.0,312.0,4.0,12322.0,3002.0
New Zealand,1160,54.0,1.0,,241.0,918,14.0,241.0,0.2,42826.0,8881.0
Estonia,1149,41.0,21.0,2.0,69.0,1059,12.0,866.0,16.0,23546.0,17750.0
